0.94,0.79,0.64,0.50,0.38,0.29,0.23,0.18,0.16,0.15
0.95,0.83,0.69,0.56,0.44,0.35,0.28,0.22,0.19,0.16
0.96,0.87,0.75,0.64,0.52,0.43,0.35,0.29,0.25,0.21
0.97,0.91,0.81,0.71,0.63,0.53,0.45,0.38,0.33,0.29
0.98,0.95,0.88,0.79,0.72,0.65,0.58,0.50,0.44,0.39
0.98,0.97,0.94,0.88,0.82,0.76,0.70,0.65,0.60,0.54
0.98,0.98,0.97,0.94,0.92,0.87,0.83,0.78,0.74,0.70
0.99,0.98,0.98,0.97,0.97,0.96,0.94,0.92,0.90,0.87
0.99,0.98,0.98,0.98,0.98,0.98,0.98,0.97,0.97,0.97
0.99,0.99,0.99,0.99,0.99,0.98,0.98,0.99,0.99,0.98
